Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Latvia,Europe,c,2010,F,2,1,12,14,7,0,0.0,33,16,12,12,13,53,86
Lebanon,MENA,c,2010,PF,5,3,5,9,3,0,0.0,17,12,8,6,9,35,52
Lesotho,SSA,c,2010,PF,3,3,9,11,9,0,0.0,29,14,7,11,9,41,70
Liberia,SSA,c,2010,PF,3,4,8,10,6,0,0.0,24,11,8,7,8,34,58
Libya,MENA,c,2010,NF,7,7,0,1,0,0,0.0,1,1,0,0,6,7,8
Liechtenstein,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Lithuania,Europe,c,2010,F,1,1,12,16,9,0,0.0,37,16,11,13,13,53,90
Luxembourg,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Macedonia,Europe,c,2010,PF,3,3,8,10,7,0,0.0,25,12,7,9,10,38,63
Madagascar,SSA,c,2010,PF,6,4,2,5,2,0,0.0,9,10,7,6,9,32,41
Malawi,SSA,c,2010,PF,3,4,8,11,7,0,0.0,26,11,8,8,7,34,60
Malaysia,Asia,c,2010,PF,4,4,6,8,6,0,0.0,20,9,6,6,8,29,49
Maldives,Asia,c,2010,PF,3,4,9,9,7,0,0.0,25,8,8,8,8,32,57
Mali,SSA,c,2010,F,2,3,9,13,9,0,0.0,31,16,10,7,7,40,71
Malta,Europe,c,2010,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Marshall Islands,Asia,c,2010,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Mauritania,SSA,c,2010,NF,6,5,3,3,5,0,0.0,11,9,5,4,5,23,34
Mauritius,SSA,c,2010,F,1,2,12,15,11,0,0.0,38,15,12,13,12,52,90
Mexico,Americas,c,2010,F,2,3,10,12,8,0,0.0,30,14,8,6,11,39,69
Micronesia,Asia,c,2010,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2010,PF,3,4,9,11,5,0,0.0,25,10,6,8,9,33,58
Monaco,Europe,c,2010,F,2,1,10,11,10,0,0.0,31,15,12,15,14,56,87
Mongolia,Asia,c,2010,F,2,2,10,15,10,0,0.0,35,15,11,12,12,50,85
Montenegro,Europe,c,2010,F,3,2,9,9,7,0,0.0,25,13,10,9,12,44,69
Morocco,MENA,c,2010,PF,5,4,4,6,4,0,0.0,14,8,6,6,8,28,42
Mozambique,SSA,c,2010,PF,4,3,6,10,7,0,0.0,23,12,7,8,9,36,59
Myanmar,Asia,c,2010,NF,7,7,0,0,0,3,0.0,-3,2,0,0,3,5,2
Nagorno-Karabakh,Eurasia,t,2010,PF,5,5,6,4,3,0,0.0,13,6,3,5,5,19,32
Namibia,SSA,c,2010,F,2,2,10,11,9,0,0.0,30,15,12,10,9,46,76
Nauru,Asia,c,2010,F,1,1,12,16,10,0,0.0,38,15,11,15,14,55,93
Nepal,Asia,c,2010,PF,4,4,6,11,4,0,0.0,21,10,6,6,7,29,50
Netherlands,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
New Zealand,Asia,c,2010,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Nicaragua,Americas,c,2010,PF,4,4,9,7,4,0,0.0,20,12,6,7,9,34,54
Niger,SSA,c,2010,PF,5,4,3,6,4,0,0.0,13,10,8,5,6,29,42
Nigeria,SSA,c,2010,PF,5,4,3,7,6,0,0.0,16,9,8,5,7,29,45
North Korea,Asia,c,2010,NF,7,7,0,0,0,0,0.0,0,0,0,0,1,1,1
Northern Cyprus,Europe,t,2010,F,2,2,11,14,9,0,0.0,34,14,9,12,12,47,81
Norway,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Oman,MENA,c,2010,NF,6,5,2,2,2,0,3.0,9,6,3,4,5,18,27
Pakistan,Asia,c,2010,PF,4,5,6,9,4,0,0.0,19,7,7,4,6,24,43
Pakistani Kashmir,Asia,t,2010,NF,6,5,3,4,3,2,0.0,8,6,5,4,6,21,29
Palau,Asia,c,2010,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Palestinian Authority Administered Territories,MENA,t,2010,NF,6,6,4,5,2,0,0.0,11,5,3,1,5,14,25
Panama,Americas,c,2010,F,1,2,12,15,9,0,0.0,36,15,11,9,12,47,83
Papua New Guinea,Asia,c,2010,PF,4,3,9,10,4,0,0.0,23,12,9,7,8,36,59
Paraguay,Americas,c,2010,PF,3,3,11,12,5,0,0.0,28,12,8,6,10,36,64
Peru,Americas,c,2010,F,2,3,11,13,7,0,0.0,31,15,8,8,10,41,72
Philippines,Asia,c,2010,PF,4,3,6,9,6,0,0.0,21,13,8,5,10,36,57
Poland,Europe,c,2010,F,1,1,12,16,10,0,0.0,38,16,12,13,14,55,93
Portugal,Europe,c,2010,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Puerto Rico,Americas,t,2010,F,1,1,12,15,10,0,0.0,37,16,11,14,14,55,92
Qatar,MENA,c,2010,NF,6,5,2,2,3,0,3.0,10,8,2,4,4,18,28
Romania,Europe,c,2010,F,2,2,12,14,8,0,0.0,34,14,11,12,12,49,83
Russia,Eurasia,c,2010,NF,6,5,1,3,3,0,0.0,7,6,4,3,7,20,27
Rwanda,SSA,c,2010,NF,6,5,3,3,4,0,0.0,10,7,4,6,7,24,34
Samoa,Asia,c,2010,F,2,2,9,13,10,0,0.0,32,14,10,13,12,49,81
San Marino,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,c,2010,F,2,2,11,14,8,0,0.0,33,15,10,12,10,47,80
Saudi Arabia,MENA,c,2010,NF,7,6,0,0,1,0,2.0,3,4,0,3,2,9,12
Senegal,SSA,c,2010,PF,3,3,9,12,8,0,0.0,29,14,10,10,9,43,72
Serbia,Europe,c,2010,F,2,2,9,14,7,0,0.0,30,15,11,9,13,48,78
Seychelles,SSA,c,2010,PF,3,3,8,10,7,0,0.0,25,11,9,11,11,42,67
Sierra Leone,SSA,c,2010,PF,3,3,10,11,6,0,0.0,27,12,8,8,9,37,64
Singapore,Asia,c,2010,PF,5,4,4,6,7,0,0.0,17,9,3,7,12,31,48
Slovakia,Europe,c,2010,F,1,1,12,15,10,0,0.0,37,15,12,12,14,53,90
Slovenia,Europe,c,2010,F,1,1,12,15,11,0,0.0,38,14,12,14,13,53,91
Solomon Islands,Asia,c,2010,PF,4,3,6,10,6,0,0.0,22,13,9,8,12,42,64
Somalia,SSA,c,2010,NF,7,7,0,0,0,0,0.0,0,1,0,0,0,1,1
Somaliland,SSA,t,2010,PF,5,5,4,7,5,0,0.0,16,7,5,6,6,24,40
South Africa,SSA,c,2010,F,2,2,12,14,9,0,0.0,35,15,12,10,12,49,84
South Korea,Asia,c,2010,F,1,2,11,15,10,0,0.0,36,14,11,13,12,50,86
South Ossetia,Eurasia,t,2010,NF,7,6,0,0,0,3,0.0,-3,4,0,1,3,8,5
Spain,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,14,15,57,97
Sri Lanka,Asia,c,2010,PF,4,4,8,8,6,0,0.0,22,8,7,6,9,30,52
St. Kitts and Nevis,Americas,c,2010,F,1,1,12,16,11,0,0.0,39,15,12,12,14,53,92
St. Lucia,Americas,c,2010,F,1,1,12,16,11,0,0.0,39,15,12,12,14,53,92
St. Vincent and the Grenadines,Americas,c,2010,F,2,1,11,15,9,0,0.0,35,15,11,13,14,53,88
Sudan,SSA,c,2010,NF,7,7,0,4,3,4,0.0,3,4,2,0,0,6,9
Suriname,Americas,c,2010,F,2,2,12,13,8,0,0.0,33,15,11,9,10,45,78
Swaziland,SSA,c,2010,NF,7,5,0,1,1,0,1.0,3,8,3,5,5,21,24
Sweden,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Switzerland,Europe,c,2010,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Syria,MENA,c,2010,NF,7,6,0,0,1,0,0.0,1,2,0,1,5,8,9
Taiwan,Asia,c,2010,F,1,2,11,15,10,0,0.0,36,15,10,14,13,52,88
Tajikistan,Eurasia,c,2010,NF,6,5,2,4,2,0,0.0,8,6,4,4,5,19,27
Tanzania,SSA,c,2010,PF,4,3,6,9,6,0,0.0,21,11,7,10,8,36,57
Thailand,Asia,c,2010,PF,5,4,3,5,4,0,0.0,12,9,6,6,11,32,44
The Gambia,SSA,c,2010,PF,5,5,6,7,2,0,0.0,15,8,5,4,7,24,39
Tibet,Asia,t,2010,NF,7,7,0,0,1,3,0.0,-2,0,0,0,3,3,1
Timor-Leste,Asia,c,2010,PF,3,4,11,11,6,0,0.0,28,12,7,6,9,34,62
Togo,SSA,c,2010,PF,5,4,5,8,3,0,0.0,16,8,6,6,7,27,43
Tonga,Asia,c,2010,PF,5,3,3,9,3,0,0.0,15,12,5,11,12,40,55
Transnistria,Eurasia,t,2010,NF,6,6,2,4,1,0,0.0,7,6,2,2,5,15,22
Trinidad and Tobago,Americas,c,2010,F,2,2,11,12,9,0,0.0,32,15,11,10,13,49,81
Tunisia,MENA,c,2010,NF,7,5,1,3,1,0,0.0,5,4,2,4,8,18,23
Turkey,Europe,c,2010,PF,3,3,10,10,7,0,0.0,27,11,7,8,10,36,63
Turkmenistan,Eurasia,c,2010,NF,7,7,0,1,0,0,0.0,1,3,0,1,3,7,8
Tuvalu,Asia,c,2010,F,1,1,12,15,10,0,0.0,37,16,12,15,14,57,94
Uganda,SSA,c,2010,PF,5,4,4,7,4,0,0.0,15,11,6,6,7,30,45
Ukraine,Eurasia,c,2010,F,3,2,10,13,5,0,0.0,28,13,11,10,11,45,73
United Arab Emirates,MENA,c,2010,NF,6,5,1,2,2,0,3.0,8,8,3,4,4,19,27
United Kingdom,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,15,12,14,15,56,96
United States,Americas,c,2010,F,1,1,11,16,11,0,0.0,38,16,11,14,15,56,94
Uruguay,Americas,c,2010,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Uzbekistan,Eurasia,c,2010,NF,7,7,0,0,0,0,0.0,0,1,0,0,3,4,4
Vanuatu,Asia,c,2010,F,2,2,9,15,8,0,0.0,32,16,11,10,11,48,80
Venezuela,Americas,c,2010,PF,5,4,6,7,3,0,0.0,16,9,5,5,8,27,43
Vietnam,Asia,c,2010,NF,7,5,0,1,1,0,0.0,2,6,1,4,8,19,21
Western Sahara,MENA,t,2010,NF,7,6,0,0,0,2,0.0,-2,3,2,0,5,10,8
Yemen,MENA,c,2010,NF,6,5,4,4,3,0,0.0,11,7,3,3,5,18,29
Zambia,SSA,c,2010,PF,3,4,8,12,6,0,0.0,26,11,7,9,7,34,60
Zimbabwe,SSA,c,2010,NF,6,6,2,4,1,0,0.0,7,4,3,1,2,10,17
