Country/Territory,Region,C/T?,Edition,Status2014,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2014
Iraq,MENA,c,2014,NF,5,6,7,5,1,1,0.0,12,5,4,0,4,13,25
Ireland,Europe,c,2014,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2014,F,1,2,12,14,10,0,0.0,36,12,11,11,11,45,81
Italy,Europe,c,2014,F,1,1,12,15,10,0,0.0,37,15,12,12,14,53,90
Jamaica,Americas,c,2014,F,2,3,12,13,9,0,0.0,34,15,9,6,10,40,74
Japan,Asia,c,2014,F,1,1,12,15,10,0,0.0,37,14,11,15,13,53,90
Jordan,MENA,c,2014,NF,6,5,2,6,3,0,0.0,11,7,3,6,8,24,35
Kazakhstan,Eurasia,c,2014,NF,6,5,2,3,1,0,0.0,6,4,3,4,8,19,25
Kenya,SSA,c,2014,PF,4,4,7,10,5,0,0.0,22,11,7,6,7,31,53
Kiribati,Asia,c,2014,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,c,2014,PF,5,4,6,9,3,1,0.0,17,8,6,5,7,26,43
Kuwait,MENA,c,2014,PF,5,5,2,9,5,0,0.0,16,6,4,7,6,23,39
Kyrgyzstan,Eurasia,c,2014,PF,5,5,6,6,4,2,0.0,14,9,5,4,7,25,39
Laos,Asia,c,2014,NF,7,6,0,0,1,0,0.0,1,4,0,2,5,11,12
Latvia,Europe,c,2014,F,2,2,12,14,7,0,0.0,33,15,12,12,12,51,84
Lebanon,MENA,c,2014,PF,5,4,4,9,3,0,0.0,16,11,7,5,9,32,48
Lesotho,SSA,c,2014,F,2,3,10,13,8,0,0.0,31,14,7,11,9,41,72
Liberia,SSA,c,2014,PF,3,4,9,11,6,0,0.0,26,10,8,7,8,33,59
Libya,MENA,c,2014,PF,4,5,9,9,3,0,0.0,21,8,5,1,6,20,41
Liechtenstein,Europe,c,2014,F,1,1,12,15,12,0,0.0,39,16,12,15,16,59,98
Lithuania,Europe,c,2014,F,1,1,12,16,9,0,0.0,37,16,11,13,13,53,90
Luxembourg,Europe,c,2014,F,1,1,12,16,11,0,0.0,39,16,12,16,16,60,99
Macedonia,Europe,c,2014,PF,3,3,8,11,7,0,0.0,26,11,8,8,11,38,64
Madagascar,SSA,c,2014,PF,5,4,6,8,1,0,0.0,15,9,7,5,7,28,43
Malawi,SSA,c,2014,PF,3,4,8,11,7,0,0.0,26,11,7,9,7,34,60
Malaysia,Asia,c,2014,PF,4,4,6,7,6,0,0.0,19,8,6,5,9,28,47
Maldives,Asia,c,2014,PF,4,4,7,7,5,0,0.0,19,7,7,7,8,29,48
Mali,SSA,c,2014,PF,5,4,6,7,4,0,0.0,17,11,6,6,4,27,44
Malta,Europe,c,2014,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Marshall Islands,Asia,c,2014,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Mauritania,SSA,c,2014,NF,6,5,3,3,5,0,0.0,11,10,4,4,5,23,34
Mauritius,SSA,c,2014,F,1,2,12,15,11,0,0.0,38,15,12,13,12,52,90
Mexico,Americas,c,2014,PF,3,3,9,12,7,0,0.0,28,13,8,6,10,37,65
Micronesia,Asia,c,2014,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2014,PF,3,3,11,12,6,0,0.0,29,11,8,7,9,35,64
Monaco,Europe,c,2014,F,2,1,10,11,10,0,0.0,31,16,12,15,14,57,88
Mongolia,Asia,c,2014,F,1,2,11,16,9,0,0.0,36,15,11,12,12,50,86
Montenegro,Europe,c,2014,F,3,2,9,11,7,0,0.0,27,13,10,10,12,45,72
Morocco,MENA,c,2014,PF,5,4,5,7,3,0,0.0,15,8,6,6,7,27,42
Mozambique,SSA,c,2014,PF,4,3,6,10,7,0,0.0,23,12,7,7,9,35,58
Myanmar,Asia,c,2014,NF,6,5,3,6,3,3,0.0,9,7,4,1,5,17,26
Nagorno-Karabakh,Eurasia,t,2014,PF,5,5,4,5,3,0,0.0,12,6,3,5,5,19,31
Namibia,SSA,c,2014,F,2,2,10,11,9,0,0.0,30,14,12,11,9,46,76
Nauru,Asia,c,2014,F,1,1,12,16,10,0,0.0,38,15,11,14,14,54,92
Nepal,Asia,c,2014,PF,4,4,8,11,4,0,0.0,23,9,6,5,7,27,50
Netherlands,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
New Zealand,Asia,c,2014,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Nicaragua,Americas,c,2014,PF,4,3,6,7,6,0,0.0,19,12,6,7,10,35,54
Niger,SSA,c,2014,PF,3,4,9,10,7,0,0.0,26,11,8,5,6,30,56
Nigeria,SSA,c,2014,PF,4,4,6,9,5,0,0.0,20,9,7,4,6,26,46
North Korea,Asia,c,2014,NF,7,7,0,0,0,0,0.0,0,0,0,0,3,3,3
Northern Cyprus,Europe,t,2014,F,2,2,11,12,9,0,0.0,32,14,9,12,12,47,79
Norway,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Oman,MENA,c,2014,NF,6,5,2,2,2,0,3.0,9,5,3,4,5,17,26
Pakistan,Asia,c,2014,PF,4,5,7,9,5,0,0.0,21,5,6,4,6,21,42
Pakistani Kashmir,Asia,t,2014,NF,6,5,3,4,3,2,0.0,8,6,5,4,6,21,29
Palau,Asia,c,2014,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Panama,Americas,c,2014,F,2,2,12,15,8,0,0.0,35,15,11,9,12,47,82
Papua New Guinea,Asia,c,2014,PF,3,3,9,10,5,0,0.0,24,12,9,7,8,36,60
Paraguay,Americas,c,2014,PF,3,3,10,12,4,0,0.0,26,12,8,5,10,35,61
Peru,Americas,c,2014,F,2,3,10,13,7,0,0.0,30,15,8,8,10,41,71
Philippines,Asia,c,2014,PF,3,3,9,10,7,0,0.0,26,14,8,5,10,37,63
Poland,Europe,c,2014,F,1,1,12,16,10,0,0.0,38,16,12,13,14,55,93
Portugal,Europe,c,2014,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Puerto Rico,Americas,t,2014,F,1,2,12,15,10,0,0.0,37,16,10,12,14,52,89
Qatar,MENA,c,2014,NF,6,5,2,2,3,0,3.0,10,8,2,4,4,18,28
Romania,Europe,c,2014,F,2,2,12,14,9,0,0.0,35,14,11,12,12,49,84
Russia,Eurasia,c,2014,NF,6,5,1,3,3,0,0.0,7,6,4,2,7,19,26
Rwanda,SSA,c,2014,NF,6,5,2,2,5,0,0.0,9,5,2,3,7,17,26
Samoa,Asia,c,2014,F,2,2,9,13,10,0,0.0,32,14,10,13,12,49,81
San Marino,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,c,2014,F,2,2,11,14,9,0,0.0,34,15,10,12,10,47,81
Saudi Arabia,MENA,c,2014,NF,7,7,0,0,1,0,2.0,3,3,0,2,2,7,10
Senegal,SSA,c,2014,F,2,2,11,13,9,0,0.0,33,15,11,10,10,46,79
Serbia,Europe,c,2014,F,2,2,9,14,7,0,0.0,30,15,10,10,13,48,78
Seychelles,SSA,c,2014,PF,3,3,8,10,7,0,0.0,25,11,9,11,11,42,67
Sierra Leone,SSA,c,2014,PF,3,3,10,12,7,0,0.0,29,12,7,9,10,38,67
Singapore,Asia,c,2014,PF,4,4,4,8,7,0,0.0,19,9,4,7,12,32,51
Slovakia,Europe,c,2014,F,1,1,12,15,10,0,0.0,37,16,12,12,14,54,91
Slovenia,Europe,c,2014,F,1,1,12,15,11,0,0.0,38,14,12,14,13,53,91
Solomon Islands,Asia,c,2014,PF,4,3,6,10,6,0,0.0,22,14,9,8,12,43,65
Somalia,SSA,c,2014,NF,7,7,0,0,0,0,0.0,0,1,0,0,1,2,2
Somaliland,SSA,t,2014,PF,4,5,5,10,6,0,0.0,21,7,5,7,6,25,46
South Africa,SSA,c,2014,F,2,2,12,13,8,0,0.0,33,15,12,10,11,48,81
South Korea,Asia,c,2014,F,2,2,11,14,10,0,0.0,35,14,11,13,12,50,85
South Ossetia,Eurasia,t,2014,NF,7,6,0,0,0,3,0.0,-3,4,0,1,3,8,5
South Sudan,SSA,c,2014,NF,6,6,4,2,2,0,0.0,8,7,3,1,5,16,24
Spain,Europe,c,2014,F,1,1,12,16,11,0,0.0,39,15,12,15,15,57,96
Sri Lanka,Asia,c,2014,PF,5,4,6,6,4,0,0.0,16,7,6,5,8,26,42
St. Kitts and Nevis,Americas,c,2014,F,1,1,12,16,9,0,0.0,37,15,12,13,13,53,90
St. Lucia,Americas,c,2014,F,1,1,12,16,11,0,0.0,39,15,12,12,14,53,92
St. Vincent and the Grenadines,Americas,c,2014,F,1,1,11,16,9,0,0.0,36,15,12,12,14,53,89
Sudan,SSA,c,2014,NF,7,7,2,3,1,4,0.0,2,3,1,0,1,5,7
Suriname,Americas,c,2014,F,2,2,12,13,8,0,0.0,33,15,11,8,10,44,77
Swaziland,SSA,c,2014,NF,7,5,0,1,0,0,0.0,1,8,2,5,4,19,20
Sweden,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
Switzerland,Europe,c,2014,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Syria,MENA,c,2014,NF,7,7,0,0,0,2,0.0,-2,1,0,0,2,3,1
Taiwan,Asia,c,2014,F,1,2,11,15,10,0,0.0,36,14,11,14,13,52,88
Tajikistan,Eurasia,c,2014,NF,6,6,2,4,2,0,0.0,8,5,4,3,4,16,24
Tanzania,SSA,c,2014,PF,3,3,9,12,8,0,0.0,29,10,7,9,9,35,64
Thailand,Asia,c,2014,PF,4,4,8,9,5,0,0.0,22,10,6,6,10,32,54
The Gambia,SSA,c,2014,NF,6,6,2,5,0,0,0.0,7,4,3,1,6,14,21
Tibet,Asia,t,2014,NF,7,7,0,0,1,3,0.0,-2,0,0,0,3,3,1
Timor-Leste,Asia,c,2014,PF,3,4,11,12,6,0,0.0,29,12,7,6,9,34,63
Togo,SSA,c,2014,PF,4,4,5,8,5,0,0.0,18,9,6,7,7,29,47
Tonga,Asia,c,2014,F,2,2,11,14,6,0,0.0,31,13,8,11,12,44,75
Transnistria,Eurasia,t,2014,NF,6,6,3,5,2,0,0.0,10,5,2,2,5,14,24
Trinidad and Tobago,Americas,c,2014,F,2,2,11,13,9,0,0.0,33,15,11,9,13,48,81
Tunisia,MENA,c,2014,PF,3,3,9,12,6,0,0.0,27,11,9,6,10,36,63
Turkey,Europe,c,2014,PF,3,4,11,10,7,0,0.0,28,9,6,8,9,32,60
Turkmenistan,Eurasia,c,2014,NF,7,7,0,1,0,0,0.0,1,2,0,1,3,6,7
Tuvalu,Asia,c,2014,F,1,1,12,15,10,0,0.0,37,16,12,15,14,57,94
Uganda,SSA,c,2014,PF,6,4,3,5,3,0,0.0,11,10,4,5,7,26,37
Ukraine,Eurasia,c,2014,PF,4,3,8,8,4,0,0.0,20,9,8,7,11,35,55
United Arab Emirates,MENA,c,2014,NF,6,6,1,2,2,0,3.0,8,4,2,3,4,13,21
United Kingdom,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,15,12,15,15,57,97
United States,Americas,c,2014,F,1,1,11,16,10,0,0.0,37,15,11,14,15,55,92
Uruguay,Americas,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Uzbekistan,Eurasia,c,2014,NF,7,7,0,0,0,0,0.0,0,1,0,0,3,4,4
Vanuatu,Asia,c,2014,F,2,2,9,15,8,0,0.0,32,15,11,10,11,47,79
Venezuela,Americas,c,2014,PF,5,5,5,7,2,0,0.0,14,8,4,4,8,24,38
Vietnam,Asia,c,2014,NF,7,5,0,1,2,0,0.0,3,4,1,4,8,17,20
West Bank,MENA,t,2014,NF,6,5,2,5,2,2,0.0,7,8,6,5,5,24,31
Western Sahara,MENA,t,2014,NF,7,7,0,0,0,2,0.0,-2,3,0,0,4,7,5
Yemen,MENA,c,2014,NF,6,6,3,4,3,0,0.0,10,6,3,2,5,16,26
Zambia,SSA,c,2014,PF,3,4,8,10,7,0,0.0,25,11,7,8,8,34,59
Zimbabwe,SSA,c,2014,NF,5,6,3,6,3,0,0.0,12,6,3,2,5,16,28
