Country/Territory,Region,C/T?,Edition,Status2013,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2013
Philippines,Asia,c,2013,PF,3,3,9,10,7,0,0.0,26,14,8,5,10,37,63
Poland,Europe,c,2013,F,1,1,12,16,10,0,0.0,38,16,12,13,14,55,93
Portugal,Europe,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Puerto Rico,Americas,t,2013,F,1,2,12,15,10,0,0.0,37,16,10,12,14,52,89
Qatar,MENA,c,2013,NF,6,5,2,2,3,0,3.0,10,8,2,4,4,18,28
Romania,Europe,c,2013,F,2,2,10,14,8,0,0.0,32,14,11,12,12,49,81
Russia,Eurasia,c,2013,NF,6,5,1,3,3,0,0.0,7,6,4,3,7,20,27
Rwanda,SSA,c,2013,NF,6,6,2,2,4,0,0.0,8,4,2,3,7,16,24
Samoa,Asia,c,2013,F,2,2,9,13,10,0,0.0,32,14,10,13,12,49,81
San Marino,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,c,2013,F,2,2,11,14,9,0,0.0,34,15,10,12,10,47,81
Saudi Arabia,MENA,c,2013,NF,7,7,0,0,1,0,2.0,3,3,0,2,2,7,10
Senegal,SSA,c,2013,F,2,3,11,13,8,0,0.0,32,14,10,10,9,43,75
Serbia,Europe,c,2013,F,2,2,9,14,7,0,0.0,30,15,10,10,13,48,78
Seychelles,SSA,c,2013,PF,3,3,8,10,7,0,0.0,25,11,9,11,11,42,67
Sierra Leone,SSA,c,2013,F,2,3,10,12,8,0,0.0,30,13,8,9,10,40,70
Singapore,Asia,c,2013,PF,4,4,4,8,7,0,0.0,19,10,4,7,12,33,52
Slovakia,Europe,c,2013,F,1,1,12,15,10,0,0.0,37,16,12,13,14,55,92
Slovenia,Europe,c,2013,F,1,1,12,15,11,0,0.0,38,14,12,14,13,53,91
Solomon Islands,Asia,c,2013,PF,4,3,6,10,6,0,0.0,22,14,9,8,12,43,65
Somalia,SSA,c,2013,NF,7,7,0,0,0,0,0.0,0,1,0,0,1,2,2
Somaliland,SSA,t,2013,PF,4,5,5,10,6,0,0.0,21,7,5,7,6,25,46
South Africa,SSA,c,2013,F,2,2,12,14,8,0,0.0,34,15,11,10,11,47,81
South Korea,Asia,c,2013,F,1,2,11,15,10,0,0.0,36,14,11,13,12,50,86
South Ossetia,Eurasia,t,2013,NF,7,6,0,0,0,3,0.0,-3,4,0,1,3,8,5
South Sudan,SSA,c,2013,NF,6,5,4,5,2,0,0.0,11,8,4,3,5,20,31
Spain,Europe,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,14,15,57,96
Sri Lanka,Asia,c,2013,PF,5,4,6,6,4,0,0.0,16,8,6,5,8,27,43
St. Kitts and Nevis,Americas,c,2013,F,1,1,12,16,10,0,0.0,38,15,12,12,14,53,91
St. Lucia,Americas,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,12,14,54,93
St. Vincent and the Grenadines,Americas,c,2013,F,1,1,11,16,9,0,0.0,36,15,11,13,14,53,89
Sudan,SSA,c,2013,NF,7,7,2,3,1,4,0.0,2,3,1,0,1,5,7
Suriname,Americas,c,2013,F,2,2,12,13,8,0,0.0,33,15,11,8,10,44,77
Swaziland,SSA,c,2013,NF,7,5,0,1,0,0,0.0,1,8,3,5,4,20,21
Sweden,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Switzerland,Europe,c,2013,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Syria,MENA,c,2013,NF,7,7,0,0,1,2,0.0,-1,2,0,0,4,6,5
Taiwan,Asia,c,2013,F,1,2,11,15,10,0,0.0,36,14,11,14,13,52,88
Tajikistan,Eurasia,c,2013,NF,6,6,2,4,2,0,0.0,8,5,4,3,4,16,24
Tanzania,SSA,c,2013,PF,3,3,9,12,7,0,0.0,28,11,7,11,9,38,66
Thailand,Asia,c,2013,PF,4,4,8,9,5,0,0.0,22,9,6,6,10,31,53
The Gambia,SSA,c,2013,NF,6,6,2,5,0,0,0.0,7,5,4,1,6,16,23
Tibet,Asia,t,2013,NF,7,7,0,0,1,3,0.0,-2,0,0,0,3,3,1
Timor-Leste,Asia,c,2013,PF,3,4,11,12,6,0,0.0,29,12,7,6,9,34,63
Togo,SSA,c,2013,PF,5,4,4,8,4,0,0.0,16,8,6,6,7,27,43
Tonga,Asia,c,2013,F,3,2,11,14,4,0,0.0,29,13,8,11,12,44,73
Transnistria,Eurasia,t,2013,NF,6,6,3,5,2,0,0.0,10,6,2,2,5,15,25
Trinidad and Tobago,Americas,c,2013,F,2,2,11,13,9,0,0.0,33,15,11,9,13,48,81
