Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Laos,Asia,c,2006,NF,7,6,0,1,0,0,0.0,1,4,1,2,5,12,13
Latvia,Europe,c,2006,F,1,1,12,15,9,0,0.0,36,16,12,12,13,53,89
Lebanon,MENA,c,2006,PF,5,4,4,8,4,0,0.0,16,11,7,5,7,30,46
Lesotho,SSA,c,2006,F,2,3,10,12,9,0,0.0,31,15,8,11,9,43,74
Liberia,SSA,c,2006,PF,4,4,9,10,4,0,0.0,23,11,7,7,8,33,56
Libya,MENA,c,2006,NF,7,7,0,1,0,0,0.0,1,1,0,0,5,6,7
Liechtenstein,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Lithuania,Europe,c,2006,F,1,1,12,15,9,0,0.0,36,16,11,14,13,54,90
Luxembourg,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Macedonia,Europe,c,2006,PF,3,3,8,10,7,0,0.0,25,11,7,8,10,36,61
Madagascar,SSA,c,2006,PF,3,3,8,9,7,0,0.0,24,10,8,9,9,36,60
Malawi,SSA,c,2006,PF,4,4,7,10,6,0,0.0,23,11,8,8,7,34,57
Malaysia,Asia,c,2006,PF,4,4,6,7,6,0,0.0,19,10,6,6,9,31,50
Maldives,Asia,c,2006,NF,6,5,3,2,4,0,0.0,9,6,3,6,7,22,31
Mali,SSA,c,2006,F,2,2,9,12,9,0,0.0,30,15,9,11,9,44,74
Malta,Europe,c,2006,F,1,1,12,16,11,0,0.0,39,16,12,16,15,59,98
Marshall Islands,Asia,c,2006,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Mauritania,SSA,c,2006,PF,6,4,2,6,3,0,0.0,11,10,6,6,5,27,38
Mauritius,SSA,c,2006,F,1,1,12,15,11,0,0.0,38,15,12,14,12,53,91
Mexico,Americas,c,2006,F,2,2,12,14,9,0,0.0,35,15,10,8,12,45,80
Micronesia,Asia,c,2006,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2006,PF,3,4,9,8,7,0,0.0,24,10,6,8,9,33,57
Monaco,Europe,c,2006,F,2,1,10,11,10,0,0.0,31,15,12,15,14,56,87
Mongolia,Asia,c,2006,F,2,2,9,15,10,0,0.0,34,15,10,12,12,49,83
Morocco,MENA,c,2006,PF,5,4,4,7,6,0,0.0,17,8,6,4,8,26,43
Mozambique,SSA,c,2006,PF,3,4,7,11,7,0,0.0,25,10,7,6,8,31,56
Myanmar,Asia,c,2006,NF,7,7,0,1,0,2,0.0,-1,2,0,0,4,6,5
Nagorno-Karabakh,Eurasia,t,2006,PF,5,5,6,5,3,0,0.0,14,8,4,4,5,21,35
Namibia,SSA,c,2006,F,2,2,10,12,9,0,0.0,31,15,12,10,9,46,77
Nauru,Asia,c,2006,F,1,1,12,16,10,0,0.0,38,15,11,15,14,55,93
Nepal,Asia,c,2006,NF,6,5,1,6,2,0,0.0,9,6,3,4,6,19,28
Netherlands,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
