CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2021_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
112,Moldova,Moldova,Europe,85.0,41.0,62.5,60.6,29.9,38.7,94.0,71.0,96.5,66.2,39.2,71.5,76.8,55.0,50.0,4.1,12.0,12.0,17.691629524637275,31.08366666666667,Moldova,2.657637,27.292,3.58,3.2688,13574.051428075592,5.5,4.849,588.61,27.3
113,Mongolia,Mongolia,Asia-Pacific,86.0,14.0,62.4,48.1,25.9,37.4,89.9,71.5,91.3,61.9,74.4,73.4,74.6,50.0,50.0,5.2,10.0,25.0,16.776784623697367,30.831,Mongolia,3.225167,46.723,5.099,4.2462,12819.948579907305,6.0,7.26,2443.3429999,65.9
114,Montenegro,Montenegro,Europe,80.0,39.0,63.4,57.8,56.2,51.0,83.6,35.3,37.2,73.5,78.0,83.4,79.4,75.0,50.0,5.3,9.0,9.0,38.41,46.452666666666666,Montenegro,0.622137,12.608,3.609,3.9483999999999995,22988.680199660594,14.9,0.366,452.8423337587319,74.8
115,Morocco,Morocco,Middle East and North Africa,81.0,9.0,63.3,67.5,51.2,39.9,68.3,73.0,68.5,72.3,33.2,80.3,70.6,65.0,70.0,9.7,38.0,31.0,27.613,29.993666666666666,Morocco,36.471769,327.251,2.203,3.005,7826.16767727681,9.0,-0.048,1599.1340406859463,65.8
116,Mozambique,Mozambique,Sub-Saharan Africa,153.0,36.0,51.6,29.5,26.9,23.8,74.8,71.4,62.3,55.2,42.0,77.1,70.8,35.0,50.0,7.1,32.0,32.0,21.625512934769663,30.866666666666664,Mozambique,30.366036,44.716,2.224,3.9880000000000004,1333.5181668508158,3.2,2.785,2211.654426,109.0
117,Namibia,Namibia,Sub-Saharan Africa,83.0,6.0,62.6,57.1,63.6,47.4,67.5,57.4,53.7,65.6,85.2,77.2,71.2,65.0,40.0,6.9,37.0,32.0,29.264171124579185,37.68633333333334,Namibia,2.49453,26.76,-1.395,0.6262,10036.592457888964,20.3,3.721,-17.384374119729888,55.9
118,Nepal,Nepal,Asia-Pacific,157.0,35.0,50.7,38.1,34.1,33.8,83.2,73.2,61.8,61.5,53.6,71.6,57.6,10.0,30.0,13.7,25.0,25.0,20.702385187447668,29.897000000000002,Nepal,28.60871,94.383,7.051,5.1688,3558.399827500635,1.4,4.639,184.995134,30.1
119,Netherlands,Netherlands,Europe,16.0,9.0,76.8,88.9,72.8,90.6,51.7,47.7,95.3,80.5,60.1,80.4,84.0,90.0,80.0,3.0,52.0,25.0,38.75,41.73866666666667,Netherlands,17.33285,1005.34,1.811,2.2938,59686.83163018473,3.2,2.673,84215.60500000001,48.3
120,New Zealand,NewZealand,Asia-Pacific,2.0,2.0,83.9,91.3,80.5,95.3,70.6,58.1,98.2,89.9,86.3,86.9,90.2,80.0,80.0,2.4,33.0,28.0,32.69,37.379333333333335,New Zealand,4.917,208.744,2.18,3.4730000000000003,43952.54842839004,4.1,1.62,5426.647692834744,30.2
121,Nicaragua,Nicaragua,Americas,125.0,23.0,56.3,27.8,19.0,24.8,77.1,77.5,91.8,53.1,55.0,70.7,68.4,60.0,50.0,5.8,30.0,30.0,22.2,27.375,Nicaragua,6.545502,34.875,-3.879,1.2314000000000003,5631.2015730516605,6.8,5.376,515.2,41.4
122,Niger,Niger,Sub-Saharan Africa,117.0,19.0,57.3,38.8,45.7,31.8,77.1,87.1,76.2,52.5,47.4,75.3,61.0,55.0,40.0,12.0,35.0,30.0,13.021,20.72233333333333,Niger,23.310715,34.659,5.829,5.5778,1269.601399341196,0.5,-2.52,592.7586358206513,42.0
123,Nigeria,Nigeria,Sub-Saharan Africa,105.0,13.0,58.7,36.8,38.7,23.5,84.9,95.3,59.9,60.0,84.4,68.0,68.4,45.0,40.0,8.3,24.0,30.0,5.698,12.482666666666667,Nigeria,200.963599,1215.39,2.208,1.1946,5348.339796589253,8.1,11.397,3299.0854829,29.4
124,Norway,Norway,Europe,28.0,15.0,73.4,82.4,86.3,95.8,57.1,25.3,96.6,85.5,57.8,75.4,84.0,75.0,60.0,3.0,47.8,22.0,39.03,49.894000000000005,Norway,5.347896,407.412,1.151,1.5606,66831.86883103964,3.4,2.168,4298.295454545454,41.3
125,Oman,Oman,Middle East and North Africa,71.0,7.0,64.6,68.7,66.3,66.0,97.7,39.2,12.2,79.2,61.0,85.8,73.6,65.0,60.0,5.7,0.0,15.0,2.55,45.01866666666666,Oman,4.974986,204.762,0.469,2.4267999999999996,29052.497396958184,2.7,0.134,3124.6200021,62.6
126,Pakistan,Pakistan,Asia-Pacific,152.0,34.0,51.7,44.9,40.7,31.2,73.8,86.0,7.4,60.5,41.2,69.7,64.6,60.0,40.0,10.2,35.0,35.0,12.98744,21.637333333333334,Pakistan,216.565318,1201.63,3.294,4.5324,4884.881389534466,4.5,6.738,2218.0,83.5
127,Panama,Panama,Americas,62.0,10.0,66.2,54.5,28.1,39.4,85.2,85.2,82.8,72.9,43.7,80.5,77.2,75.0,70.0,6.4,25.0,25.0,15.1,22.197666666666663,Panama,4.246439,111.998,3.006,4.5966000000000005,32762.49474711453,3.9,-0.355,4835.1938869,46.8
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,103.0,19.0,58.9,46.1,50.8,32.7,71.5,88.0,82.0,57.4,70.2,72.1,80.4,25.0,30.0,2.3,42.0,30.0,13.587528071647052,19.995333333333335,Papua New Guinea,8.776109,34.617,5.026,4.2554,4569.446179538842,2.5,3.76,333.9749054373523,38.4
